"cases_time_series__dailyconfirmed","cases_time_series__dailydeceased","cases_time_series__dailyrecovered","cases_time_series__date","cases_time_series__totalconfirmed","cases_time_series__totaldeceased","cases_time_series__totalrecovered","statewise__active","statewise__confirmed","statewise__deaths","statewise__deltaconfirmed","statewise__deltadeaths","statewise__deltarecovered","statewise__lastupdatedtime","statewise__migratedother","statewise__recovered","statewise__state","statewise__statecode","statewise__statenotes","tested__dailyrtpcrtests","tested__individualstestedperconfirmedcase","tested__positivecasesfromsamplesreported","tested__samplereportedtoday","tested__source","tested__source1","tested__source3","tested__testedasof","tested__testpositivityrate","tested__testsconductedbyprivatelabs","tested__testsperconfirmedcase","tested__testspermillion","tested__totalindividualstested","tested__totalpositivecases","tested__totalrtpcrtests","tested__totalsamplestested","tested__updatetimestamp"
"0","0","0","09 February ","3","0","0","12502","184276","906","0","0","0","01/10/2020 22:07:54","1","170867","Bihar","BR","","","42.15","","","ICMR_website_update_23March_10AM_IST.pdf","","","23/03/2020","2.26%","","44.30","14","17493","415","","18383","23/03/2020 10:00:00"
"0","0","0","10 February ","3","0","0","34163","182396","711","0","0","0","01/10/2020 23:39:45","3","147519","Assam","AS","","","42.07","","","ICMR_website_update_23March_8PM_IST.pdf","","","23/03/2020","2.27%","","43.96","16","19817","471","","20707","23/03/2020 20:00:00"
"0","0","0","11 February ","3","0","0","72339","204242","772","0","0","0","01/10/2020 21:13:43","83","131048","Kerala","KL","Mahe native who expired in Kannur included in Kerala's deceased tally.\nOne patient absconded from Palakkad to TN and one patient returned back to Maharashtra. Some non-covid deaths (accident,cancer etc.) have also been reported in the bulletin.\nIn total 83 such cases have been reduced from active count","","41.44","","","ICMR_website_update_24March_10AM_IST.pdf","","","24/03/2020","2.31%","","43.29","16","19974","482","","20864","24/03/2020 10:00:00"
"0","0","0","12 February ","3","0","0","16616","138744","3463","0","0","0","01/10/2020 22:07:56","0","118665","Gujarat","GJ","","","40.68","","","ICMR_website_update_24March_8PM_IST.pdf","","","24/03/2020","2.36%","","42.34","17","21804","536","","22694","24/03/2020 20:00:00"
"0","0","1","13 February ","3","0","1","20807","137485","1500","0","0","0","01/10/2020 22:08:04","0","115178","Rajasthan","RJ","","","40.89","","","ICMR_website_update_25March_10AM_IST.pdf","","","25/03/2020","2.35%","","42.54","17","22038","539","","22928","25/03/2020 10:00:00"
"0","0","0","14 February ","3","0","1","13472","129912","1402","0","0","0","01/10/2020 22:08:05","0","115038","Haryana","HR","[Aug 2]: 21 Foreign Evacuees have been merged to Panchkula and 14 Italian tourists have been merged to Gurugram in HR bulletin.","","41.75","","","ICMR_website_update_25March_8PM_IST.pdf","","","25/03/2020","2.31%","","43.28","19","24254","581","","25144","25/03/2020 20:00:00"
"0","0","0","15 February ","3","0","1","20473","130088","2336","0","0","0","01/10/2020 22:08:06","0","107279","Madhya Pradesh","MP","","","","","","","","","26/03/2020","","","","","","","","","26/03/2020 10:00:00"
"0","0","1","16 February ","3","0","2","15763","115151","3451","0","0","0","01/10/2020 22:08:08","0","95937","Punjab","PB","","","38.78","","","ICMR_website_update_27March_9AM_IST.pdf","","","26/03/2020","2.50%","","40.07","21","26798","691","","27688","27/03/2020 09:00:00"
"0","0","0","17 February ","3","0","2","30468","116153","986","0","0","0","01/10/2020 23:39:46","0","84699","Chhattisgarh","CT","[Sep 9]:57 backdated deceased cases have been added.","","","","","MoH Press conference with Dr. Raman G","","","30/03/2020","0.00%","1334","","29","","","","38442","30/03/2020 00:00:00"
"0","0","0","18 February ","3","0","2","11482","84664","721","0","0","0","01/10/2020 22:08:10","0","72461","Jharkhand","JH","","","","","","MoH Press conference with Dr. Raman G","","","31/03/2020","0.00%","1733","","32","","","","42788","31/03/2020 00:00:00"
"0","0","0","19 February ","3","0","2","16413","76163","1198","0","0","0","01/10/2020 18:46:47","0","58552","Jammu and Kashmir","JK","","","0.00","","","https://twitter.com/PTI_News/status/1245308976440340482","","","01/04/2020","3.41%","4562","29.29","36","","1637","","47951","01/04/2020 00:00:00"
"0","0","1","20 February ","3","0","3","8544","49248","625","0","0","0","01/10/2020 22:08:12","243","39836","Uttarakhand","UT","","","0.00","","","ICMR_testing_update_02April_9PM_IST.pdf","","","02/04/2020","3.68%","","27.16","42","","2056","","55851","02/04/2020 21:00:00"
"0","0","0","21 February ","3","0","3","4977","33942","440","0","0","0","01/10/2020 22:24:48","0","28525","Goa","GA","","","0.00","","","ICMR_testing_update_03April_9AM_IST.pdf","","","03/04/2020","3.85%","","25.96","43","","2183","","56680","03/04/2020 09:00:00"
"0","0","0","22 February ","3","0","3","4994","28024","525","0","0","0","01/10/2020 22:08:15","0","22505","Puducherry","PY","","","0.00","575","10034","ICMR_testing_update_03April_9PM_IST.pdf","","","03/04/2020","3.83%","","26.10","52","","2653","","69245","03/04/2020 21:00:00"
"0","0","0","23 February ","3","0","3","5480","26359","283","296","3","504","02/10/2020 12:10:52","23","20573","Tripura","TR","[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states.","","0.00","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf","","","04/04/2020","3.89%","","25.68","60","","3113","","79950","04/04/2020 21:00:00"
"0","0","0","24 February ","3","0","3","3416","15219","190","0","0","0","01/10/2020 23:39:48","25","11588","Himachal Pradesh","HP","","","0.00","295","9369","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf","","","05/04/2020","3.97%","","25.19","67","","3554","","89534","05/04/2020 21:00:00"
"0","0","0","25 February ","3","0","3","1884","12057","164","0","0","0","01/10/2020 19:57:58","0","10009","Chandigarh","CH","","","0.00","311","11432","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf","","","06/04/2020","4.09%","","24.44","76","","4135","","101068","06/04/2020 21:00:00"
"0","0","0","26 February ","3","0","3","2402","11111","68","0","0","0","01/10/2020 23:39:50","0","8641","Manipur","MN","","","0.00","285","12584","ICMR_testing_update_07April_9PM_IST.pdf","","","07/04/2020","4.05%","","24.70","86","","4616","","114015","07/04/2020 21:00:00"
"0","0","0","27 February ","3","0","3","2955","10020","16","0","0","0","01/10/2020 23:47:46","0","7049","Arunachal Pradesh","AR","[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.","","0.00","320","13143","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf","","","08/04/2020","4.00%","","25.01","96","","5114","","127919","08/04/2020 21:00:00"
"0","0","0","28 February ","3","0","3","1078","6244","12","0","0","0","01/10/2020 19:23:47","55","5099","Nagaland","NL","","","22.93","320","16002","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf","","","09/04/2020","3.94%","","25.40","109","130792","5705","","144910","09/04/2020 21:00:00"
"0","0","0","29 February ","3","0","3","1750","5802","51","0","0","0","01/10/2020 23:47:48","0","4001","Meghalaya","ML","","","21.40","433","15663","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf","","","10/04/2020","4.26%","","23.48","121","147034","6872","","161330","10/04/2020 21:00:00"
"0","0","0","01 March ","3","0","3","1064","4269","58","0","0","0","30/09/2020 23:17:45","0","3147","Ladakh","LA","[Sep 08] : Testing details are not available in Ladakh bulletin from Sep 06 onwards","","21.39","600","17143","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf","","","11/04/2020","4.29%","","23.29","135","164773","7703","","179374","11/04/2020 21:00:00"
"2","0","0","02 March ","5","0","3","172","3848","53","0","0","0","01/10/2020 23:39:54","0","3623","Andaman and Nicobar Islands","AN","","","21.78","544","15,583","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf","","","12/04/2020","4.25%","","23.55","147","181028","8312","","195748","12/04/2020 21:00:00"
"1","0","0","03 March ","6","0","3","115","3057","2","0","0","0","01/10/2020 19:17:46","32","2908","Dadra and Nagar Haveli and Daman and Diu","DN","","","21.68","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf","","","13/04/2020","4.29%","","23.29","163","202551","9341","","217554","13/04/2020 21:00:00"
"22","0","0","04 March ","28","0","3","635","2969","40","0","0","0","01/10/2020 22:08:17","0","2294","Sikkim","SK","","","22.26","853","26351","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf","","","14/04/2020","4.21%","","23.76","184","229426","10307","","244893","14/04/2020 21:00:00"
"2","0","0","05 March ","30","0","3","328","2049","0","31","0","0","02/10/2020 12:10:55","0","1721","Mizoram","MZ","","","22.90","953","28941","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf","","","15/04/2020","4.11%","","24.31","206","258730","11297","","274599","15/04/2020 21:00:00"
"1","0","0","06 March ","31","0","3","0","0","0","0","0","0","19/07/2020 09:40:01","0","0","State Unassigned","UN","MoHFW website reports that these are the 'cases that are being reassigned to states'. ","","22.79","1206","27256","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf","","","16/04/2020","4.15%","","24.08","227","286714","12,581","","302956","16/04/2020 21:00:00"
"3","0","0","07 March ","34","0","3","0","0","0","0","0","0","26/03/2020 07:19:29","0","0","Lakshadweep","LD","","","22.59","1443","31083","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf","","","17/04/2020","4.21%","","23.77","251","318449","14098","","335123","17/04/2020 21:00:00"
"5","0","0","08 March ","39","0","3","","","","","","","","","","","","","","21.69","2154","35494","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf","","","18/04/2020","4.40%","","22.74","279","354969","16365","","372123","18/04/2020 21:00:00"
"9","0","0","09 March ","48","0","3","","","","","","","","","","","","","","21.80","1135","27824","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf","","","19/04/2020","4.39%","","22.80","301","383985","17615","","401586","19/04/2020 21:00:00"
"15","0","1","10 March ","63","0","4","","","","","","","","","","","","","","","","","","","","20/04/2020","","","","","","","","","20/04/2020 21:00:00"
"8","0","0","11 March ","71","0","4","","","","","","","","","","","","","","","","26943","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_21April_9PM_IST.pdf","","","21/04/2020","0.00%","","","347","447812","","","462621","21/04/2020 21:00:00"
"10","1","0","12 March ","81","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22/04/2020 21:00:00"
"10","0","6","13 March ","91","1","10","","","","","","","","","","","","","","22.26","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf","","","22/04/2020","4.35%","","22.96","376","485172","21797","","500542","23/04/2020 09:00:00"
"11","1","0","14 March ","102","2","10","","","","","","","","","","","","","","22.37","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_24Apr2020_9AM_IST.pdf","","","23/04/2020","4.34%","","23.05","406","525667","23502","","541789","24/04/2020 09:00:00"
"10","0","3","15 March ","112","2","13","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_25Apr2020_9AM_IST.pdf","","","24/04/2020","0.00%","","","435","","","","579957","25/04/2020 09:00:00"
"14","0","1","16 March ","126","2","14","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf","","","25/04/2020","4.20%","","","469","","","","625309","26/04/2020 09:00:00"
"20","1","1","17 March ","146","3","15","","","","","","","","","","","","","","","","","https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_27Apr2020_9AM_IST.pdf","","","26/04/2020","4.19%","","","500","","","","665819","27/04/2020 09:00:00"
"25","0","0","18 March ","171","3","15","","","","","","","","","","","","","","","","","https://www.icmr.nic.in/pdf/covid/update/ICMR_testing_update_28Apr2020_9AM_IST.pdf","","","27/04/2020","4.11%","","","538","","","","716733","28/04/2020 09:00:00"
"27","1","5","19 March ","198","4","20","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Apr2020_9AM_IST.pdf","","","28/04/2020","4.07%","","","578","","","","770764","29/04/2020 09:00:00"
"58","0","3","20 March ","256","4","23","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Apr2020_9AM_IST.pdf","","","29/04/2020","3.98%","","","623","","","","830201","30/04/2020 09:00:00"
"78","0","0","21 March ","334","4","23","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01May2020_9AM_IST.pdf","","","30/04/2020","3.86%","","","677","","","","902654","01/05/2020 09:00:00"
"69","3","0","22 March ","403","7","23","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02May2020_9AM_IST.pdf","","","01/05/2020","3.82%","","","733","","","","976363","02/05/2020 09:00:00"
"94","2","2","23 March ","497","9","25","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03May2020_9AM_IST.pdf","","","02/05/2020","3.81%","","","785","","","","1046450","03/05/2020 09:00:00"
"74","1","15","24 March ","571","10","40","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04May2020_9AM_IST.pdf","","","03/05/2020","3.86%","","","831","","","","1107233","04/05/2020 09:00:00"
"86","1","3","25 March ","657","11","43","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_05May2020_9AM_IST.pdf","","","04/05/2020","3.90%","","","894","","","","1191946","05/05/2020 09:00:00"
"73","5","7","26 March ","730","16","50","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf","","","05/05/2020","3.87%","","","958","","","","1276781","06/05/2020 09:00:00"
"153","3","25","27 March ","883","19","75","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf","","","06/05/2020","3.91%","","","1018","","","","1357413","07/05/2020 09:00:00"
"136","5","10","28 March ","1019","24","85","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf","","","07/05/2020","3.92%","","","1079","","","","1437788","08/05/2020 09:00:00"
"120","3","17","29 March ","1139","27","102","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf","","","08/05/2020","3.92%","","","1143","","","","1523213","09/05/2020 09:00:00"
"187","14","35","30 March ","1326","41","137","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf","","","09/05/2020","3.91%","","","1207","","","","1609037","10/05/2020 09:00:00"
"309","6","13","31 March ","1635","47","150","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf","","","10/05/2020","4.01%","","","1256","","","","1673688","11/05/2020 09:00:00"
"424","6","19","01 April ","2059","53","169","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf","","","11/05/2020","4.02%","","","1320","","","","1759579","12/05/2020 09:00:00"
"486","16","22","02 April ","2545","69","191","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_13May2020_9AM_IST.pdf","","","12/05/2020","4.01%","","","1391","","","","1854250","13/05/2020 09:00:00"
"560","14","39","03 April ","3105","83","230","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_14May2020_9AM_IST.pdf","","","13/05/2020","4.01%","","","1461","","","","1947041","14/05/2020 09:00:00"
"579","13","56","04 April ","3684","96","286","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_15May2020_9AM_IST.pdf","","","14/05/2020","4.02%","","","1530","","","","2039952","15/05/2020 09:00:00"
"609","22","43","05 April ","4293","118","329","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_16May2020_9AM_IST.pdf","","","15/05/2020","4.02%","","","1601","","","","2134277","16/05/2020 09:00:00"
"484","16","65","06 April ","4777","134","394","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_17May2020_9AM_IST.pdf","","","16/05/2020","4.07%","","","1671","","","","2227642","17/05/2020 09:00:00"
"573","27","75","07 April ","5350","161","469","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_18May2020_9AM_IST.pdf","","","17/05/2020","4.16%","","","1728","","","","2302792","18/05/2020 09:00:00"
"565","20","96","08 April ","5915","181","565","","","","","","","","","","","","","","","","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_19May2020_9AM_IST.pdf","","","18/05/2020","4.17%","","","1804","","","","2404267","19/05/2020 09:00:00"
"813","46","70","09 April ","6728","227","635","","","","","","","","","","","","","","","","108121","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_20May2020_9AM_IST.pdf","","","19/05/2020","4.24%","","","1885","","","","2512388","20/05/2020 09:00:00"
"871","22","151","10 April ","7599","249","786","","","","","","","","","","","","","","","","103532","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_21May2020_9AM_IST.pdf","","","20/05/2020","4.29%","","","1963","","","","2615920","21/05/2020 09:00:00"
"854","41","186","11 April ","8453","290","972","","","","","","","","","","","","","","","","103514","https://t.me/Covid19india_Auxiliary_Test_Data/99","","","21/05/2020","4.35%","","","2040","","","","2719434","22/05/2020 09:00:00"
"758","42","114","12 April ","9211","332","1086","","","","","","","","","","","","","","","","115364","https://t.me/Covid19india_Auxiliary_Test_Data/110","","","22/05/2020","4.40%","","","2127","","","","2834798","23/05/2020 09:00:00"
"1243","27","112","13 April ","10454","359","1198","","","","","","","","","","","","","","","","108623","https://t.me/Covid19india_Auxiliary_Test_Data/129","","","23/05/2020","4.47%","","","2208","","","","2943421","24/05/2020 09:00:00"
"1031","37","167","14 April ","11485","396","1365","","","","","","","","","","","","","","","","90170","https://t.me/Covid19india_Auxiliary_Test_Data/146","","","24/05/2020","4.57%","","","2276","","","","3033591","25/05/2020 09:00:00"
"886","27","144","15 April ","12371","423","1509","","","","","","","","","","","","","","","","92528","https://t.me/Covid19india_Auxiliary_Test_Data/160","","","25/05/2020","4.64%","","","2345","","","","3126119","26/05/2020 09:00:00"
"1061","26","258","16 April ","13432","449","1767","","","","","","","","","","","","","","","","116041","https://t.me/Covid19india_Auxiliary_Test_Data/177","","","26/05/2020","4.65%","","","2432","","","","3242160","27/05/2020 09:00:00"
"922","38","273","17 April ","14354","487","2040","","","","","","","","","","","","","","","","119976","https://t.me/Covid19india_Auxiliary_Test_Data/194","","","27/05/2020","4.70%","","","2522","","","","3362136","28/05/2020 09:00:00"
"1371","35","426","18 April ","15725","522","2466","","","","","","","","","","","","","","","","121702","https://t.me/Covid19india_Auxiliary_Test_Data/211","","","28/05/2020","4.75%","","","2614","","","","3483838","29/05/2020 09:00:00"
"1580","38","388","19 April ","17305","560","2854","","","","","","","","","","","","","","","","127761","https://t.me/Covid19india_Auxiliary_Test_Data/228","","","29/05/2020","4.80%","","","2710","","","","3611599","30/05/2020 09:00:00"
"1239","33","419","20 April ","18544","593","3273","","","","","","","","","","","","","","","","125428","https://t.me/Covid19india_Auxiliary_Test_Data/236","","","30/05/2020","4.87%","","","2804","","","","3737027","31/05/2020 09:00:00"
"1537","53","703","21 April ","20081","646","3976","","","","","","","","","","","","","","","","100180","https://t.me/Covid19india_Auxiliary_Test_Data/253","","","31/05/2020","4.97%","","","2879","","","","3837207","01/06/2020 09:00:00"
"1292","36","394","22 April ","21373","682","4370","","","","","","","","","","","","","","","","128868","https://twitter.com/ICMRDELHI/status/1267665101781266433?s=20","","","01/06/2020","5.00%","","","2976","","","","3966075","02/06/2020 09:00:00"
"1667","40","642","23 April ","23040","722","5012","","","","","","","","","","","","","","","","137158","https://twitter.com/ICMRDELHI/status/1268030064467165184?s=19","","","02/06/2020","5.05%","","","3078","","","","4103233","03/06/2020 09:00:00"
"1408","59","484","24 April ","24448","781","5496","","","","","","","","","","","","","","","","139485","https://t.me/Covid19india_Auxiliary_Test_Data/294","","","03/06/2020","5.11%","","","3183","","","","4242718","04/06/2020 09:00:00"
"1835","44","442","25 April ","26283","825","5938","","","","","","","","","","","","","","","","143661","https://t.me/Covid19india_Auxiliary_Test_Data/313","","","04/06/2020","5.17%","","","3291","","","","4386379","05/06/2020 09:00:00"
"1607","56","585","26 April ","27890","881","6523","","","","","","","","","","","","","","","","137938","https://twitter.com/ICMRDELHI/status/1269111826618302464?s=19","","","05/06/2020","5.22%","","","3394","","","","4524317","06/06/2020 09:00:00"
"1568","58","580","27 April ","29458","939","7103","","","","","","","","","","","","","","","","142069","https://t.me/Covid19india_Auxiliary_Test_Data/340","","","06/06/2020","5.28%","","","3501","","","","4666386","07/06/2020 09:00:00"
"1902","69","636","28 April ","31360","1008","7739","","","","","","","","","","","","","","","","108048","https://t.me/Covid19india_Auxiliary_Test_Data/355","","","07/06/2020","5.39%","","","3582","","","","4774434","08/06/2020 09:00:00"
"1705","71","690","29 April ","33065","1079","8429","","","","","","","","","","","","","","","","141682","https://t.me/Covid19india_Auxiliary_Test_Data/374","","","08/06/2020","5.41%","","","3688","","","","4916116","09/06/2020 09:00:00"
"1801","75","630","30 April ","34866","1154","9059","","","","","","","","","","","","","","","","145216","https://t.me/Covid19india_Auxiliary_Test_Data/388","","","09/06/2020","5.45%","","","3797","","","","5061332","10/06/2020 09:00:00"
"2396","77","962","01 May ","37262","1231","10021","","","","","","","","","","","","","","","","151808","https://t.me/Covid19india_Auxiliary_Test_Data/402","","","10/06/2020","5.51%","","","3911","","","","5213140","11/06/2020 09:00:00"
"2564","92","831","02 May ","39826","1323","10852","","","","","","","","","","","","","","","","150305","https://t.me/Covid19india_Auxiliary_Test_Data/419","","","11/06/2020","5.56%","","","4024","","","","5363445","12/06/2020 09:00:00"
"2952","140","911","03 May ","42778","1463","11763","","","","","","","","","","","","","","","","143737","https://twitter.com/ICMRDELHI/status/1271652968694075393?s=09","","","12/06/2020","5.62%","","","4132","","","","5507182","13/06/2020 09:00:00"
"3656","103","1082","04 May ","46434","1566","12845","","","","","","","","","","","","","","","","151432","https://t.me/Covid19india_Auxiliary_Test_Data/448","","","13/06/2020","5.68%","","","4245","","","","5658614","14/06/2020 09:00:00"
"2971","128","1295","05 May ","49405","1694","14140","","","","","","","","","","","","","","","","115519","https://t.me/Covid19india_Auxiliary_Test_Data/472","","","14/06/2020","5.77%","","","4332","","","","5774133","15/06/2020 09:00:00"
